World Number_Robots Assigner Percentage Time Total_Distance Distance_Robot_0 Distance_Robot_1 Distance_Robot_2 Distance_Robot_3 Distance_Robot_4 Distance_Robot_5
belgioioso 6 Hungarian 90 102.4 182.11 2.83 38.28 46.35 40.77 18.85 35.04
belgioioso 6 Hungarian 95 105.3 186.97 2.83 40.65 46.40 40.77 18.85 37.48
belgioioso 6 Hungarian 98 127.4 215.85 2.83 49.12 57.10 41.49 18.85 46.47
belgioioso 4 Hungarian 50 29.2 57.06 13.88 9.95 14.92 18.31 0.0 0.0
belgioioso 4 Hungarian 75 49.2 99.62 23.33 25.28 25.88 25.14 0.0 0.0
belgioioso 4 Hungarian 90 71.2 122.38 31.55 36.91 26.32 27.61 0.0 0.0
belgioioso 4 Hungarian 95 73.2 127.53 33.80 38.72 26.32 28.70 0.0 0.0
belgioioso 4 Hungarian 98 78.2 137.84 38.74 43.70 26.40 29.01 0.0 0.0
belgioioso 4 Hungarian 50 31.4 53.92 9.52 16.02 19.28 9.09 0.0 0.0
belgioioso 4 Hungarian 75 57.5 104.62 27.15 26.39 27.26 23.81 0.0 0.0
belgioioso 4 Hungarian 90 171.5 222.54 62.62 66.33 38.33 55.26 0.0 0.0
belgioioso 4 Hungarian 95 172.5 224.75 62.81 67.34 38.33 56.28 0.0 0.0
belgioioso 3 Hungarian 50 36.1 67.57 24.59 15.14 27.83 0.0 0.0 0.0
belgioioso 3 Hungarian 75 71.1 131.98 42.63 41.04 48.31 0.0 0.0 0.0
belgioioso 3 Hungarian 90 93.1 183.71 59.10 55.74 68.86 0.0 0.0 0.0
belgioioso 3 Hungarian 95 106.1 190.17 60.99 60.23 68.95 0.0 0.0 0.0
belgioioso 3 Hungarian 98 109.1 194.55 62.08 63.29 69.18 0.0 0.0 0.0
belgioioso 6 Stupid 50 44.8 56.17 3.25 5.84 14.09 14.09 12.75 6.14
belgioioso 6 Stupid 75 79.9 108.85 7.39 12.77 27.77 25.22 12.79 22.91
belgioioso 6 Stupid 90 169.0 248.94 26.24 39.72 34.25 64.46 28.06 56.21
belgioioso 6 Stupid 95 184.0 266.58 29.83 42.93 39.44 69.41 28.75 56.21
belgioioso 6 Stupid 98 190.0 281.35 34.22 44.39 43.73 72.81 29.98 56.21
belgioioso 2 Hungarian 50 33.0 50.00 25.59 24.42 0.0 0.0 0.0 0.0
belgioioso 2 Hungarian 75 65.0 88.08 45.97 42.10 0.0 0.0 0.0 0.0
belgioioso 2 Hungarian 90 114.0 108.88 45.97 62.90 0.0 0.0 0.0 0.0
belgioioso 2 Hungarian 95 171.0 129.44 45.97 83.46 0.0 0.0 0.0 0.0
belgioioso 2 Hungarian 98 175.0 131.85 45.97 85.88 0.0 0.0 0.0 0.0
belgioioso 3 Stupid 50 33.5 49.27 17.15 12.61 19.51 0.0 0.0 0.0
belgioioso 3 Stupid 75 60.5 103.78 43.44 24.53 35.81 0.0 0.0 0.0
belgioioso 3 Stupid 90 144.5 227.09 87.92 63.63 75.54 0.0 0.0 0.0
belgioioso 3 Stupid 95 151.5 235.42 88.77 64.89 81.76 0.0 0.0 0.0
belgioioso 3 Stupid 98 156.5 245.36 90.25 69.17 85.94 0.0 0.0 0.0
belgioioso 3 Auction 50 36.3 36.91 9.48 11.81 15.62 0.0 0.0 0.0
belgioioso 3 Auction 75 80.3 64.47 9.48 26.24 28.74 0.0 0.0 0.0
belgioioso 3 Auction 90 166.4 118.89 25.61 26.30 66.97 0.0 0.0 0.0
belgioioso 3 Auction 95 195.4 144.31 40.73 26.30 77.27 0.0 0.0 0.0
belgioioso 5 Stupid 50 35.2 84.94 11.95 19.59 21.37 16.12 15.91 0.0
belgioioso 5 Stupid 75 57.2 125.64 23.25 24.35 29.14 28.97 19.93 0.0
belgioioso 5 Stupid 90 120.3 242.57 54.27 43.14 44.28 53.21 47.67 0.0
belgioioso 5 Stupid 95 121.3 243.64 55.34 43.14 44.28 53.21 47.67 0.0
belgioioso 5 Stupid 98 128.3 252.83 62.06 43.14 44.28 55.68 47.67 0.0
belgioioso 4 Stupid 50 43.4 70.24 13.36 10.22 15.42 31.24 0.0 0.0
belgioioso 4 Stupid 75 70.4 87.84 14.84 10.22 20.10 42.68 0.0 0.0
belgioioso 4 Stupid 90 112.4 130.45 14.84 10.26 44.99 60.36 0.0 0.0
belgioioso 4 Stupid 95 124.4 149.16 14.84 19.48 51.69 63.15 0.0 0.0
belgioioso 4 Stupid 98 126.5 154.14 14.84 21.65 52.71 64.94 0.0 0.0
belgioioso 3 Stupid 50 30.5 48.68 15.92 16.27 16.49 0.0 0.0 0.0
belgioioso 3 Stupid 75 71.5 113.60 36.26 42.97 34.37 0.0 0.0 0.0
belgioioso 3 Stupid 90 113.5 203.18 73.46 81.17 48.55 0.0 0.0 0.0
belgioioso 3 Stupid 95 114.5 204.33 73.80 81.98 48.55 0.0 0.0 0.0
belgioioso 3 Stupid 98 122.5 215.78 82.32 84.39 49.07 0.0 0.0 0.0
belgioioso 2 Stupid 50 38.5 41.53 28.19 13.34 0.0 0.0 0.0 0.0
belgioioso 2 Stupid 75 62.5 71.62 43.84 27.79 0.0 0.0 0.0 0.0
belgioioso 2 Stupid 90 135.5 169.21 83.92 85.29 0.0 0.0 0.0 0.0
belgioioso 2 Stupid 95 145.5 184.78 94.69 90.10 0.0 0.0 0.0 0.0
belgioioso 2 Hungarian 50 32.5 51.95 27.31 24.65 0.0 0.0 0.0 0.0
belgioioso 2 Hungarian 75 74.6 77.80 35.15 42.65 0.0 0.0 0.0 0.0
belgioioso 2 Hungarian 90 113.6 125.52 69.16 56.35 0.0 0.0 0.0 0.0
belgioioso 2 Hungarian 95 130.6 131.97 70.78 61.19 0.0 0.0 0.0 0.0
belgioioso 6 Auction 50 67.6 50.82 2.83 4.24 5.66 9.66 16.84 11.60
belgioioso 6 Auction 75 282.9 130.23 2.83 4.24 5.66 56.03 23.12 38.35
belgioioso 6 Hungarian 50 60.0 61.78 8.04 4.24 13.04 12.08 9.59 14.80
belgioioso 6 Hungarian 75 153.1 147.97 27.60 4.24 33.06 28.71 19.44 34.92
belgioioso 6 Hungarian 90 185.1 180.58 36.46 4.24 33.06 36.29 30.43 40.09
belgioioso 6 Hungarian 95 193.1 189.85 39.99 4.24 33.06 38.33 33.77 40.46
belgioioso 6 Hungarian 98 204.1 196.55 42.74 4.26 33.06 39.32 34.33 42.84
belgioioso 6 Hungarian 50 51.6 65.26 11.88 4.24 16.99 7.00 11.64 13.50
belgioioso 6 Hungarian 75 95.8 115.60 21.77 6.71 27.14 22.84 11.64 25.50
belgioioso 6 Hungarian 90 131.7 150.05 22.71 16.80 30.25 31.90 11.64 36.75
belgioioso 6 Hungarian 95 182.9 175.19 22.71 31.91 33.18 35.30 11.64 40.44
belgioioso 4 Hungarian 50 58.5 59.54 5.26 20.90 12.22 21.16 0.0 0.0
belgioioso 4 Hungarian 75 111.5 141.97 20.54 35.98 30.81 54.63 0.0 0.0
belgioioso 4 Hungarian 90 162.5 218.76 20.54 61.81 61.60 74.80 0.0 0.0
belgioioso 4 Hungarian 95 168.5 225.52 20.54 62.05 66.62 76.30 0.0 0.0
belgioioso 4 Hungarian 98 172.5 231.86 20.54 62.19 70.97 78.16 0.0 0.0
belgioioso 3 Stupid 50 44.8 74.65 32.37 9.26 33.02 0.0 0.0 0.0
belgioioso 3 Stupid 75 95.8 154.99 50.01 30.97 74.01 0.0 0.0 0.0
belgioioso 6 Auction 50 57.6 59.88 2.83 4.24 5.66 14.07 14.89 18.20
belgioioso 6 Auction 75 100.6 87.50 2.83 4.24 5.66 15.98 28.78 30.01
belgioioso 6 Auction 90 151.6 127.79 2.83 4.24 5.66 22.17 49.26 43.63
belgioioso 6 Auction 95 201.7 175.63 2.83 4.24 5.66 39.16 57.62 66.12
belgioioso 6 Hungarian 50 41.4 65.05 10.31 10.36 11.21 2.86 16.81 13.50
belgioioso 6 Hungarian 75 76.4 108.85 24.88 19.65 13.35 2.86 32.01 16.10
belgioioso 6 Hungarian 90 129.4 225.34 43.13 34.59 25.03 29.66 60.55 32.38
belgioioso 6 Hungarian 95 134.5 236.83 43.57 39.75 29.71 29.69 60.55 33.57
belgioioso 6 Hungarian 98 135.4 239.25 43.57 40.76 30.73 29.69 60.55 33.96
belgioioso 4 Stupid 50 28.5 50.42 10.70 8.00 11.98 19.73 0.0 0.0
belgioioso 4 Stupid 75 75.6 155.91 12.62 44.98 42.89 55.42 0.0 0.0
belgioioso 4 Stupid 90 150.6 217.30 12.62 82.78 50.91 70.99 0.0 0.0
belgioioso 4 Stupid 95 158.6 224.98 12.62 90.39 50.98 70.99 0.0 0.0
belgioioso 4 Stupid 98 161.6 228.26 12.62 93.11 51.53 70.99 0.0 0.0
belgioioso 2 Auction 50 61.8 43.05 15.59 27.47 0.0 0.0 0.0 0.0
belgioioso 2 Auction 75 107.8 88.74 33.75 54.98 0.0 0.0 0.0 0.0
belgioioso 4 Hungarian 50 35.4 59.97 17.61 12.99 8.03 21.34 0.0 0.0
belgioioso 4 Hungarian 75 88.4 119.24 18.37 30.75 8.03 62.09 0.0 0.0
belgioioso 4 Hungarian 90 113.4 145.20 18.37 42.72 8.25 75.86 0.0 0.0
belgioioso 4 Hungarian 95 139.4 207.49 43.15 65.39 14.57 84.38 0.0 0.0
belgioioso 4 Hungarian 98 146.5 221.59 50.54 66.69 16.16 88.20 0.0 0.0
belgioioso 4 Hungarian 50 35.5 57.08 18.84 8.64 7.79 21.81 0.0 0.0
belgioioso 4 Hungarian 75 102.6 124.71 26.03 23.78 13.86 61.05 0.0 0.0
belgioioso 4 Hungarian 90 129.6 170.09 45.77 33.65 24.09 66.59 0.0 0.0
belgioioso 4 Hungarian 95 131.6 178.81 47.76 35.85 26.34 68.85 0.0 0.0
belgioioso 4 Hungarian 98 132.6 182.79 48.89 36.98 27.32 69.60 0.0 0.0
belgioioso 2 Stupid 50 62.6 36.37 20.93 15.44 0.0 0.0 0.0 0.0
belgioioso 2 Stupid 75 98.6 80.04 48.27 31.77 0.0 0.0 0.0 0.0
belgioioso 2 Stupid 90 232.6 138.46 53.45 85.01 0.0 0.0 0.0 0.0
belgioioso 3 Stupid 50 28.5 50.21 12.44 12.58 25.18 0.0 0.0 0.0
belgioioso 3 Stupid 75 52.6 89.28 39.14 15.63 34.51 0.0 0.0 0.0
belgioioso 3 Stupid 90 93.5 135.94 48.67 30.27 57.00 0.0 0.0 0.0
belgioioso 3 Stupid 95 137.6 183.87 49.11 49.88 84.88 0.0 0.0 0.0
belgioioso 3 Stupid 98 154.6 191.56 49.11 52.45 90.00 0.0 0.0 0.0
belgioioso 2 Hungarian 50 37.7 55.39 29.45 25.94 0.0 0.0 0.0 0.0
belgioioso 2 Hungarian 75 67.7 89.77 46.67 43.10 0.0 0.0 0.0 0.0
belgioioso 2 Hungarian 50 29.6 42.26 18.16 24.11 0.0 0.0 0.0 0.0
belgioioso 2 Hungarian 75 68.6 77.17 33.16 44.01 0.0 0.0 0.0 0.0
belgioioso 2 Hungarian 90 148.6 132.18 69.50 62.69 0.0 0.0 0.0 0.0
belgioioso 2 Hungarian 95 157.6 133.86 71.17 62.69 0.0 0.0 0.0 0.0
belgioioso 5 Auction 50 43.5 53.49 2.83 4.24 16.39 16.49 13.55 0.0
belgioioso 5 Auction 75 81.6 98.67 8.93 11.29 27.82 25.02 25.62 0.0
belgioioso 5 Auction 90 149.7 153.20 40.46 13.11 30.41 33.67 35.55 0.0
belgioioso 5 Auction 95 192.6 172.74 50.36 13.11 30.41 43.30 35.55 0.0
belgioioso 5 Hungarian 50 35.300000000000004 78.32 15.15 15.32 17.01 14.01 16.83 0.0
belgioioso 5 Hungarian 75 51.2 105.55 15.75 20.31 22.17 16.75 30.57 0.0
belgioioso 5 Hungarian 90 73.3 144.72 23.00 25.94 28.97 27.01 39.80 0.0
belgioioso 5 Hungarian 95 75.3 147.52 23.06 26.15 29.21 27.16 41.94 0.0
belgioioso 5 Hungarian 98 79.2 156.78 23.84 26.32 32.72 27.81 46.10 0.0
belgioioso 4 Stupid 50 26.3 61.60 13.90 14.60 13.44 19.67 0.0 0.0
belgioioso 4 Stupid 75 41.3 94.86 24.17 24.77 20.71 25.21 0.0 0.0
belgioioso 4 Stupid 90 60.3 135.35 32.37 30.65 29.26 43.07 0.0 0.0
belgioioso 4 Stupid 95 63.3 142.67 34.79 30.65 31.98 45.25 0.0 0.0
belgioioso 5 Auction 50 60.1 53.52 2.83 4.24 17.79 15.12 13.54 0.0
belgioioso 5 Auction 75 114.1 74.43 2.83 4.24 30.98 18.73 17.64 0.0
belgioioso 5 Auction 90 168.2 95.42 2.83 9.76 33.41 31.79 17.64 0.0
belgioioso 5 Auction 95 183.3 110.58 2.83 13.40 38.48 38.24 17.64 0.0
belgioioso 5 Auction 98 184.2 111.37 2.83 13.96 38.53 38.41 17.64 0.0
belgioioso 2 Auction 50 51.5 42.00 11.14 30.86 0.0 0.0 0.0 0.0
belgioioso 2 Auction 75 158.5 84.15 12.07 72.08 0.0 0.0 0.0 0.0
belgioioso 2 Auction 90 283.5 136.43 12.07 124.36 0.0 0.0 0.0 0.0
belgioioso 5 Auction 50 46.8 52.74 2.83 4.24 15.26 16.41 14.00 0.0
belgioioso 5 Auction 75 101.0 73.34 2.83 5.16 25.97 22.58 16.80 0.0
belgioioso 5 Auction 90 196.9 200.57 22.82 13.38 58.00 55.87 50.50 0.0
belgioioso 5 Auction 95 223.9 214.29 22.82 13.38 59.29 63.56 55.24 0.0
belgioioso 2 Hungarian 50 31.2 50.76 26.12 24.63 0.0 0.0 0.0 0.0
belgioioso 2 Hungarian 75 68.2 89.49 46.46 43.04 0.0 0.0 0.0 0.0
belgioioso 2 Auction 50 51.3 37.91 24.13 13.78 0.0 0.0 0.0 0.0
belgioioso 2 Auction 75 110.4 66.55 32.43 34.12 0.0 0.0 0.0 0.0
belgioioso 2 Auction 90 168.4 84.69 32.43 52.26 0.0 0.0 0.0 0.0
belgioioso 2 Auction 95 252.4 139.89 32.43 107.46 0.0 0.0 0.0 0.0
belgioioso 2 Auction 98 269.4 141.24 32.43 108.81 0.0 0.0 0.0 0.0
belgioioso 4 Stupid 50 33.0 61.08 18.98 8.74 14.97 18.40 0.0 0.0
belgioioso 4 Stupid 75 83.1 136.72 43.10 30.52 38.17 24.93 0.0 0.0
belgioioso 4 Stupid 90 104.1 168.80 57.32 45.24 40.36 25.88 0.0 0.0
belgioioso 4 Stupid 95 112.1 176.62 59.19 46.33 40.39 30.71 0.0 0.0
belgioioso 4 Stupid 98 128.2 200.11 62.37 50.83 45.06 41.84 0.0 0.0
belgioioso 5 Auction 50 60.9 57.83 2.83 13.81 16.45 10.11 14.63 0.0
belgioioso 5 Auction 75 98.9 92.43 2.83 31.51 23.52 17.51 17.06 0.0
belgioioso 5 Auction 90 155.9 130.94 14.09 37.43 26.51 17.60 35.30 0.0
belgioioso 5 Auction 95 165.0 141.59 14.09 42.95 29.15 19.80 35.60 0.0
belgioioso 5 Auction 98 166.9 143.67 14.09 42.99 30.27 20.58 35.74 0.0
belgioioso 5 Hungarian 50 44.3 73.10 13.83 16.19 8.62 17.72 16.73 0.0
belgioioso 5 Hungarian 75 82.5 133.29 20.02 35.78 11.55 29.01 36.93 0.0
belgioioso 5 Hungarian 90 108.4 160.32 29.25 36.51 18.58 29.07 46.91 0.0
belgioioso 5 Hungarian 95 113.3 164.91 32.63 36.51 19.72 29.07 46.98 0.0
belgioioso 5 Hungarian 98 124.4 176.76 33.50 41.46 20.50 29.07 52.23 0.0
belgioioso 6 Auction 50 107.8 54.94 2.83 4.24 9.08 11.19 15.02 12.58
belgioioso 6 Auction 75 158.9 78.83 2.83 4.24 21.93 13.20 23.78 12.85
belgioioso 6 Hungarian 50 73.3 49.21 2.83 4.27 7.24 2.83 18.61 13.43
belgioioso 6 Hungarian 75 232.5 148.87 2.83 33.85 16.16 39.65 30.26 26.13
belgioioso 6 Hungarian 90 268.5 187.77 8.79 38.56 16.16 55.96 30.26 38.05
belgioioso 6 Hungarian 95 283.6 197.03 10.97 38.56 16.16 61.81 30.26 39.28
belgioioso 6 Hungarian 50 91.3 55.57 2.83 8.43 5.72 9.78 13.57 15.24
belgioioso 6 Hungarian 75 209.70000000000002 126.91 2.83 31.47 11.87 34.90 22.65 23.19
belgioioso 6 Hungarian 90 311.5 176.08 2.83 52.55 11.87 37.88 46.38 24.58
belgioioso 6 Stupid 50 88.1 111.77 20.56 10.68 22.90 24.31 17.93 15.40
belgioioso 6 Stupid 75 239.2 182.81 26.82 10.68 49.82 28.48 25.03 42.00
belgioioso 6 Stupid 90 311.4 233.48 27.08 10.68 66.25 55.94 27.03 46.51
belgioioso 2 Auction 50 42.7 24.03 12.94 11.09 0.0 0.0 0.0 0.0
belgioioso 2 Auction 75 68.7 45.89 21.64 24.25 0.0 0.0 0.0 0.0
belgioioso 2 Auction 90 151.7 88.20 32.36 55.83 0.0 0.0 0.0 0.0
belgioioso 2 Auction 95 155.7 92.13 32.76 59.37 0.0 0.0 0.0 0.0
belgioioso 2 Auction 98 175.7 106.07 42.03 64.04 0.0 0.0 0.0 0.0
belgioioso 4 Stupid 50 52.3 61.18 18.17 10.67 21.24 11.10 0.0 0.0
belgioioso 4 Stupid 75 128.3 95.25 36.10 11.32 32.11 15.72 0.0 0.0
belgioioso 4 Hungarian 50 55.8 53.27 8.14 17.64 19.44 8.05 0.0 0.0
belgioioso 4 Hungarian 75 151.0 104.36 26.34 21.63 43.66 12.73 0.0 0.0
belgioioso 4 Hungarian 90 180.9 135.52 41.69 26.26 52.17 15.39 0.0 0.0
belgioioso 4 Hungarian 95 218.8 160.73 56.04 35.07 54.23 15.39 0.0 0.0
belgioioso 4 Hungarian 98 236.8 164.94 58.26 35.26 56.03 15.39 0.0 0.0
belgioioso 5 Hungarian 50 93.7 84.22 13.97 9.15 18.15 23.32 19.63 0.0
belgioioso 5 Hungarian 75 278.8 250.02 14.27 50.50 53.51 66.89 64.86 0.0
belgioioso 5 Hungarian 90 307.8 269.64 14.27 58.52 54.97 72.65 69.23 0.0
belgioioso 5 Hungarian 95 322.7 275.23 14.27 58.85 55.33 77.49 69.29 0.0
belgioioso 5 Hungarian 98 345.8 287.26 15.80 62.50 56.90 78.49 73.58 0.0
belgioioso 2 Auction 50 46.3 26.59 15.99 10.60 0.0 0.0 0.0 0.0
belgioioso 2 Auction 75 120.30000000000001 60.60 38.64 21.96 0.0 0.0 0.0 0.0
belgioioso 2 Auction 90 192.4 76.16 39.02 37.14 0.0 0.0 0.0 0.0
belgioioso 2 Auction 95 199.4 80.14 39.02 41.12 0.0 0.0 0.0 0.0
belgioioso 5 Hungarian 50 82.4 73.14 10.79 13.47 16.69 13.94 18.25 0.0
belgioioso 5 Hungarian 75 165.7 131.83 19.35 30.46 29.58 20.19 32.24 0.0
belgioioso 2 Stupid 50 38.3 44.87 26.94 17.93 0.0 0.0 0.0 0.0
belgioioso 2 Stupid 75 121.4 99.08 34.80 64.28 0.0 0.0 0.0 0.0
belgioioso 2 Stupid 90 309.4 186.32 100.59 85.73 0.0 0.0 0.0 0.0
belgioioso 2 Stupid 95 312.4 188.95 103.23 85.73 0.0 0.0 0.0 0.0
belgioioso 5 Auction 50 137.0 57.29 2.83 10.22 20.81 8.92 14.51 0.0
belgioioso 5 Auction 75 344.9 100.35 2.83 26.53 29.23 9.92 31.83 0.0
belgioioso 6 Hungarian 50 146.2 68.97 2.85 11.84 13.62 10.89 15.82 13.95
belgioioso 5 Hungarian 50 129.6 66.52 2.83 14.89 17.80 18.46 12.55 0.0
belgioioso 5 Hungarian 75 219.8 88.67 2.83 16.49 22.27 27.63 19.46 0.0
belgioioso 5 Hungarian 90 287.7 107.54 2.83 20.51 28.78 35.95 19.46 0.0
belgioioso 5 Hungarian 95 346.4 123.54 2.83 27.61 30.78 37.74 24.57 0.0
belgioioso 5 Auction 50 308.4 45.62 2.83 4.24 15.69 8.38 14.47 0.0
belgioioso 2 Stupid 50 156.79999999999998 55.55 17.25 38.31 0.0 0.0 0.0 0.0
belgioioso 2 Stupid 75 271.90000000000003 110.17 52.36 57.81 0.0 0.0 0.0 0.0
belgioioso 3 Stupid 50 174.8 47.34 7.87 13.56 25.91 0.0 0.0 0.0
belgioioso 2 Hungarian 50 179.1 47.53 23.43 24.10 0.0 0.0 0.0 0.0
belgioioso 3 Hungarian 50 201.3 38.83 16.92 10.82 11.09 0.0 0.0 0.0
belgioioso 6 Auction 50 70.3 58.32 2.83 4.24 7.60 15.43 13.67 14.55
belgioioso 6 Auction 75 98.3 90.31 2.83 4.24 18.40 21.44 17.32 26.09
belgioioso 6 Auction 90 136.3 131.14 2.83 4.24 22.74 21.45 30.73 49.14
belgioioso 6 Auction 95 199.3 186.33 2.83 4.24 24.70 22.74 54.22 77.61
belgioioso 6 Auction 98 209.3 198.91 2.83 4.24 24.70 25.39 55.11 86.64
belgioioso 6 Auction 50 86.6 71.58 2.83 4.24 9.81 13.00 24.41 17.29
belgioioso 3 Auction 50 32.699999999999996 42.39 17.55 8.74 16.10 0.0 0.0 0.0
belgioioso 3 Auction 75 52.699999999999996 60.15 22.32 12.13 25.70 0.0 0.0 0.0
belgioioso 3 Auction 90 94.7 90.49 34.02 21.38 35.09 0.0 0.0 0.0
belgioioso 3 Auction 95 100.80000000000001 98.46 34.25 27.42 36.78 0.0 0.0 0.0
belgioioso 3 Auction 98 127.80000000000001 126.42 36.35 42.82 47.25 0.0 0.0 0.0
belgioioso 2 Auction 50 35.7 28.89 18.58 10.31 0.0 0.0 0.0 0.0
belgioioso 2 Auction 75 73.7 48.43 22.35 26.08 0.0 0.0 0.0 0.0
belgioioso 2 Auction 90 128.7 76.91 43.15 33.76 0.0 0.0 0.0 0.0
belgioioso 2 Auction 95 137.7 83.96 44.98 38.97 0.0 0.0 0.0 0.0
belgioioso 2 Auction 98 142.7 84.01 44.98 39.03 0.0 0.0 0.0 0.0
belgioioso 5 Stupid 50 35.7 64.20 3.69 21.10 9.16 14.97 15.28 0.0
belgioioso 5 Stupid 75 74.6 179.25 29.45 53.44 18.62 41.11 36.64 0.0
belgioioso 5 Stupid 90 84.5 208.81 38.78 54.00 18.65 50.13 47.24 0.0
belgioioso 5 Stupid 95 92.5 231.94 41.73 61.44 18.70 57.37 52.71 0.0
belgioioso 5 Stupid 98 100.5 248.48 43.29 66.20 18.75 64.12 56.13 0.0
belgioioso 2 Hungarian 50 35.8 54.32 29.21 25.11 0.0 0.0 0.0 0.0
belgioioso 6 Auction 50 59.1 60.25 2.83 8.19 10.26 15.39 13.36 10.21
belgioioso 3 Stupid 50 37.5 52.74 11.90 17.84 23.01 0.0 0.0 0.0
belgioioso 3 Stupid 75 53.5 67.85 11.90 23.33 32.62 0.0 0.0 0.0
belgioioso 3 Stupid 90 66.5 80.89 11.90 28.51 40.48 0.0 0.0 0.0
belgioioso 3 Stupid 95 71.6 86.99 11.90 29.21 45.89 0.0 0.0 0.0
belgioioso 6 Hungarian 50 39.2 67.54 10.49 11.21 9.98 5.77 16.58 13.51
belgioioso 6 Hungarian 75 74.5 132.38 24.16 16.98 21.76 24.88 28.74 15.86
belgioioso 6 Hungarian 90 93.3 167.92 38.52 19.64 21.76 32.82 39.32 15.86
belgioioso 6 Hungarian 95 101.4 186.53 40.89 25.24 21.76 41.41 41.38 15.86
belgioioso 5 Stupid 50 30.1 61.68 10.30 6.69 8.22 18.06 18.41 0.0
belgioioso 5 Stupid 75 48.1 103.42 19.06 19.40 20.56 23.29 21.12 0.0
belgioioso 5 Stupid 90 79.2 183.08 42.80 20.48 36.32 40.22 43.26 0.0
belgioioso 5 Stupid 95 84.3 198.52 48.12 20.56 40.73 45.31 43.81 0.0
belgioioso 5 Stupid 98 89.2 217.03 53.09 24.90 43.42 50.44 45.19 0.0
belgioioso 6 Stupid 50 37.7 82.03 7.26 14.74 11.56 16.86 14.98 16.62
belgioioso 6 Stupid 75 99.10000000000001 177.34 13.91 49.82 38.54 17.94 35.32 21.81
belgioioso 6 Stupid 95 143.89999999999998 262.48 13.91 79.22 62.07 31.95 53.53 21.81
belgioioso 6 Stupid 98 150.89999999999998 281.39 13.91 85.77 63.34 37.58 58.98 21.81
belgioioso 6 Hungarian 50 52.8 60.92 5.31 8.65 13.32 10.17 9.84 13.64
belgioioso 6 Hungarian 75 86.7 117.46 22.93 19.60 16.88 27.72 15.81 14.52
belgioioso 6 Hungarian 90 107.0 178.73 27.59 32.75 32.51 37.96 26.13 21.79
belgioioso 6 Hungarian 95 141.8 266.07 43.25 53.58 50.69 42.84 38.82 36.90
belgioioso 6 Hungarian 98 153.7 286.72 46.42 53.89 55.52 43.94 48.31 38.64
belgioioso 3 Stupid 50 29.3 50.23 12.49 15.00 22.74 0.0 0.0 0.0
belgioioso 3 Stupid 75 92.4 141.24 34.15 46.29 60.80 0.0 0.0 0.0
belgioioso 6 Stupid 50 46.5 75.67 6.40 20.28 12.54 15.65 14.28 6.53
belgioioso 6 Stupid 75 68.0 116.38 6.40 29.00 20.49 22.24 18.49 19.76
belgioioso 6 Stupid 90 202.7 271.67 6.40 91.26 31.52 67.98 43.88 30.62
belgioioso 6 Stupid 95 211.6 279.52 6.40 97.06 31.52 69.81 44.11 30.62
belgioioso 6 Stupid 98 213.7 281.12 6.40 98.58 31.52 69.89 44.11 30.62
belgioioso 4 Hungarian 50 31.1 49.87 13.43 9.33 8.09 19.03 0.0 0.0
belgioioso 4 Hungarian 75 71.1 110.01 29.00 22.69 28.97 29.35 0.0 0.0
belgioioso 4 Hungarian 90 83.1 132.94 37.02 24.03 32.23 39.66 0.0 0.0
belgioioso 4 Hungarian 95 141.1 196.75 46.87 45.23 56.48 48.16 0.0 0.0
belgioioso 4 Hungarian 98 149.1 198.15 46.87 45.23 57.88 48.16 0.0 0.0
