World Number_Robots Assigner Percentage Time Total_Distance Distance_Robot_0 Distance_Robot_1 Distance_Robot_2 Distance_Robot_3 Distance_Robot_4 Distance_Robot_5
area 2 Stupid 50 388.3 275.49 23.87 251.62 0.0 0.0 0.0 0.0
area 2 Stupid 50 226.60000000000002 274.96 96.69 178.27 0.0 0.0 0.0 0.0
area 2 Stupid 75 372.7 491.18 206.63 284.55 0.0 0.0 0.0 0.0
area 2 Stupid 50 204.3 187.90 71.57 116.33 0.0 0.0 0.0 0.0
area 2 Stupid 75 267.3 243.21 90.01 153.20 0.0 0.0 0.0 0.0
area 2 Stupid 90 544.4 571.70 300.52 271.18 0.0 0.0 0.0 0.0
area 2 Stupid 50 197.5 153.28 52.23 101.05 0.0 0.0 0.0 0.0
area 2 Stupid 75 313.5 248.09 104.33 143.76 0.0 0.0 0.0 0.0
area 2 Stupid 90 358.5 310.72 136.26 174.46 0.0 0.0 0.0 0.0
area 2 Stupid 95 374.59999999999997 335.53 143.69 191.84 0.0 0.0 0.0 0.0
area 2 Stupid 98 388.5 357.36 157.25 200.12 0.0 0.0 0.0 0.0
area 2 Stupid 50 54.6 73.68 35.76 37.92 0.0 0.0 0.0 0.0
area 2 Stupid 75 507.70000000000005 512.35 160.00 352.35 0.0 0.0 0.0 0.0
area 2 Stupid 50 166.10000000000002 188.17 88.95 99.22 0.0 0.0 0.0 0.0
area 2 Stupid 75 249.10000000000002 295.92 141.84 154.08 0.0 0.0 0.0 0.0
area 2 Stupid 50 372.3 408.57 209.94 198.62 0.0 0.0 0.0 0.0
area 2 Stupid 75 440.3 505.46 249.98 255.49 0.0 0.0 0.0 0.0
area 2 Stupid 90 445.3 514.42 254.46 259.96 0.0 0.0 0.0 0.0
area 2 Stupid 95 467.3 541.17 270.09 271.08 0.0 0.0 0.0 0.0
area 2 Stupid 98 491.3 564.53 277.94 286.59 0.0 0.0 0.0 0.0
area 2 Stupid 50 523.7 212.27 90.23 122.04 0.0 0.0 0.0 0.0
area 2 Stupid 75 551.7 253.14 111.91 141.23 0.0 0.0 0.0 0.0
area 2 Stupid 50 255.99999999999997 335.79 154.62 181.17 0.0 0.0 0.0 0.0
area 2 Stupid 75 306.0 405.42 195.44 209.99 0.0 0.0 0.0 0.0
area 2 Stupid 50 201.29999999999998 263.63 124.92 138.71 0.0 0.0 0.0 0.0
area 2 Stupid 75 221.29999999999998 290.55 141.18 149.37 0.0 0.0 0.0 0.0
area 2 Stupid 90 438.4 581.05 290.30 290.76 0.0 0.0 0.0 0.0
area 2 Stupid 95 447.4 598.05 297.63 300.42 0.0 0.0 0.0 0.0
